VEC,∆χ,δ(%),ΔHmix,∆Smix,Type
6.17,15.5,9.32,19.78,14.9,SSIM
8.36,8.03,3.38,2.28,13.66,SSIM
6.07,2.1,1.43,0.45,2.04,SSIM
6.77,6.98,6.26,12.98,11.73,SSIM
7.32,8.53,5.74,9.95,17.99,SSIM
7.19,6.8,5.83,12.58,13.58,SSIM
7,7.58,6.12,15.35,11.93,SSIM
7.6,8.8,5.73,14.4,13.38,SSIM
7.81,6.13,13.73,9.56,15.08,SSIM
4.34,8.51,5.22,1.7,9.71,SSIM
8,7.9,3.3,4.21,13.47,SSIM
8.76,5.21,1.82,2.54,13.66,SSIM
7.4,12.44,10.83,22.72,13.38,SSIM
9,7.43,3.25,1.76,13.41,SSIM
8.24,5.42,0.99,4.02,11.7,SSIM
7.9,7.18,5.68,14.46,10.23,SSIM
5.5,18.79,4.98,4.27,11.66,SSIM
7.8,8.54,3.68,4.64,13.38,SSIM
8.02,6.62,5.98,4.84,12.11,SSIM
8.68,5.61,1.94,4.12,11.93,SSIM
7.71,7.96,5.19,5.63,16.18,SSIM
9.82,2.42,1.76,1.55,2.33,SSIM
7.83,6.72,5.29,4.74,15.05,SSIM
7.2,6.9,5.79,12.28,13.54,SSIM
6.74,6.99,6.3,13.41,11.64,SSIM
5,17.69,5.34,10.08,13.38,SSIM
7.7,5.43,1.24,3.16,10.03,SSIM
7.49,13.36,4.15,3.11,11.73,SSIM
5.5,18.79,4.97,4.26,11.61,SSIM
9.5,1.64,1.39,5,11.57,SSIM
8.23,5.64,2.04,4.34,11.73,SSIM
6.79,7.13,6.23,13.13,12.31,SSIM
7.99,7.84,3.32,4.26,13.47,SSIM
8.29,6.13,1.24,5.2,10.05,SSIM
4.34,8.68,5.29,2.07,9.62,SSIM
7.9,8.17,6.72,17.72,12.57,SSIM
8.7,5.58,1.78,4.27,11.85,SSIM
5.7,7.77,6.33,18.29,15.97,SSIM
6.1,7.3,7.74,12.04,10.25,SSIM
7.83,6.62,5.29,4.78,14.9,SSIM
9,7.43,3.3,1.76,13.43,SSIM
7.69,5.64,2.24,3.39,10.02,SSIM
7.99,7.84,3.31,4.22,13.44,SSIM
6.5,12.05,5.81,11.78,11.62,SSIM
8.61,5.74,2.5,3.44,12.21,SSIM
9.5,1.64,1.3,5,11.55,SSIM
7.98,7.84,3.28,4.35,13.65,SSIM
7.75,8.22,7.21,20.75,11.53,SSIM
8.28,6.2,1.36,5.63,9.55,SSIM
9.86,2.88,1.66,1.31,1.91,SSIM
8.38,6.04,4.29,5.93,14.21,SSIM
7.57,9.07,5.32,3.51,16.18,SSIM
8.4,7.66,6.51,11.04,13.38,SSIM
5.2,22.03,7.09,4.8,13.38,SSIM
9.49,1.65,1.74,5.01,11.62,SSIM
7.18,7.41,6.43,13.1,13.58,SSIM
4.34,8.33,5.06,1.9,9.78,SSIM
7,7.58,6.12,15.33,11.97,SSIM
8.23,5.49,1.49,4.1,11.72,SSIM
4.88,21.29,6.61,3.44,17.29,SSIM
8,7.84,3.3,4.21,13.43,SSIM
7.19,7.29,6.31,12.95,13.54,SSIM
7.2,6.84,5.79,12.3,13.47,SSIM
8.21,5.51,1.28,4.05,11.93,SSIM
8.7,5.41,2.42,1.77,14,SSIM
6.57,6.52,6.18,11.65,12.11,SSIM
8.16,5.5,2,4.71,12.07,SSIM
7.14,11.54,9.32,21.96,16.18,SSIM
6.78,7.13,6.24,13.15,12.2,SSIM
8.72,5.32,2.19,2.09,13.91,SSIM
8.2,5.41,1.44,4.24,11.85,SSIM
7.18,7,6.03,12.88,13.58,SSIM
7.76,7.73,5.6,12.2,13.05,SSIM
8.66,5.64,2.08,3.96,12,SSIM
7.22,8.58,5.41,10.58,12.32,SSIM
4.8,7.6,8.68,4.64,13.38,SSIM
5.19,4.93,1.08,2.46,2.15,SSIM
5.41,18.47,3.4,4.69,13.93,SSIM
4.47,22.7,5.89,6.66,13.34,SSIM
8.97,2.02,1.11,1.66,9.35,SSIM
7.06,5.32,1.44,1.6,7.35,SSIM
8.65,5.67,2.22,3.8,12.07,SSIM
8.23,5.36,1.04,3.99,11.71,SSIM
7.8,12.07,3.81,2.88,13.38,SSIM
4.34,9.54,4.77,0.61,9.85,SSIM
7.05,5.46,1.53,1.6,7.45,SSIM
7.04,7.39,6.09,14.92,12.31,SSIM
8.64,5.69,2.3,3.7,12.11,SSIM
6.61,6.55,6.15,11.42,12.41,SSIM
5.19,13.04,5.67,5.14,13.71,SSIM
7.99,7.84,3.31,4.23,13.44,SSIM
2.54,10.63,5.58,2.04,6.34,SSIM
7.05,10,3.87,7.47,12.07,SSIM
7.99,6.13,2.48,10.47,11.7,SSIM
9,7.43,3.28,1.76,13.42,SSIM
6.81,6.97,6.23,12.94,12.2,SSIM
7.66,7.14,4.59,11.67,15.09,SSIM
4.02,7.95,4.83,21.25,11.93,SSIM
6.14,4.5,0.92,0.82,2.15,SSIM
8.68,5.49,2.63,1.45,14.08,SSIM
5.49,13.06,4.92,4.2,11.73,SSIM
7.97,7.85,3.42,4.5,13.61,SSIM
5.77,7.69,7.96,33.81,11.95,SSIM
7.82,6.82,5.3,4.7,15.16,SSIM
8.16,5.61,1.94,4.58,12.2,SSIM
7.04,10.02,3.87,7.42,11.98,SSIM
5.19,4.42,1.1,2.49,2.15,SSIM
8.76,5.11,2.12,2.74,13.67,SSIM
8.23,5.61,1.71,4.15,11.7,SSIM
7.2,6.87,5.79,12.29,13.51,SSIM
8.98,2.04,1.1,1.79,9.35,SSIM
6.76,9.83,7.77,23.05,18.44,SSIM
7,8.76,6.61,13.28,13.38,SSIM
6.67,16.16,16.86,33.89,14.9,SSIM
8.01,8.03,3.33,4.32,13.61,SSIM
7.15,8.5,7.55,14.65,13.83,SSIM
7.99,6,1.07,4.42,9.86,SSIM
7.99,7.84,3.33,4.27,13.47,SSIM
7.99,7.84,3.32,4.24,13.45,SSIM
8.96,2.14,1.34,1.83,9.43,SSIM
5.8,5.83,6.72,10.4,9.98,SSIM
8,6.08,2.45,10.49,11.62,SSIM
7.5,8.56,5.51,8.13,17.29,SSIM
8,6.67,6.01,4.76,11.62,SSIM
7.94,5.89,1.72,5.07,9.59,SSIM
8.92,2.49,0.89,1.79,9.91,SSIM
6.55,6.7,6.18,11.56,12.2,SSIM
8.23,5.39,1.22,4.21,11.78,SSIM
7.04,10.03,3.87,7.4,11.93,SSIM
6,14.96,9.85,30.56,14.9,SSIM
6.52,6.48,6.2,11.24,11.73,SSIM
8.74,5.14,3.05,2.38,13.8,SSIM
8.74,5.17,1.52,2.64,13.86,SSIM
8.03,8.27,3.4,4.52,13.81,SSIM
8.2,5.46,1.64,4.42,11.93,SSIM
8.33,7.1,6.59,2,14.9,SSIM
9.33,2.78,2.65,3.47,12.26,SSIM
8.99,7.43,3.41,1.76,13.47,SSIM
7.86,15.63,4.07,4.57,13.36,SSIM
