VEC,∆χ,δ(%),ΔHmix,∆Smix,Type
4.1,24.91,16.37,10.6,14.53,AM
4.5,14.51,8.66,32.19,17.29,AM
9.22,8.04,9.64,24.94,10.55,AM
4.3,20.23,9.37,13.24,9.1,AM
7.7,11.21,8.42,32.96,8.59,AM
8.2,15.36,10.55,18.72,7.47,AM
4.75,9.97,10.85,25.43,10.7,AM
3.77,28.72,20.32,4.68,10.66,AM
6.7,11.22,17.2,22.65,10.54,AM
7.8,12.06,8.86,32.4,9.05,AM
8.23,7.65,10.7,28.95,9.76,AM
6.69,6.69,18.66,26.57,10.04,AM
7.77,12.48,8.63,15.44,9.7,AM
3.3,16.42,8.31,5.4,6.07,AM
6.7,16.01,11.33,43.47,8.72,AM
6.23,8.37,13.37,19.76,9.42,AM
6.69,8.13,7.22,21.26,15.08,AM
6.85,14.74,18.4,33.46,13.34,AM
4.72,23.72,15.88,15.33,11.93,AM
3.8,27.93,20.91,9.76,11.08,AM
7.4,0.14,6.68,16.32,13.38,IM
7.5,0.14,5.49,12,14.9,IM
7.33,0.15,6.29,13.44,14.9,IM
7.5,0.15,5.5,8.13,17.29,IM
7.43,0.15,7.24,14.04,14.53,IM
3.8,0.16,10.95,14.88,13.38,IM
6,0.2,11.48,24.89,14.9,IM
8.14,0.13,5.7,6.75,14.87,IM
8,0.14,6.12,8.44,14.9,IM
7.73,0.14,6.26,10.11,16,IM
7.62,0.14,6.54,11.6,16.01,IM
7.51,0.14,6.76,12.89,15.97,IM
7.41,0.15,6.94,14.02,15.91,IM
7.31,0.15,7.09,15.01,15.82,IM
7.22,0.15,7.21,15.86,15.72,IM
7.13,0.15,7.31,16.6,15.6,IM
7.95,0.12,4.09,4.07,15.92,IM
7.86,0.12,4.07,4.71,16,IM
7.77,0.12,4.04,5.25,16.01,IM
6,0.24,9.42,34.11,14.9,IM
6.46,0.15,7.5,23.91,14.78,IM
6.38,12.41,9.85,22.04,13.85,IM
5.33,14.99,9.18,2.67,9.13,IM
6.33,5.73,2.82,4.5,9.49,IM
6,12.43,11.5,24.89,14.9,IM
3.7,10.54,3.85,1.14,6.47,IM
7.06,5.05,1.22,1.57,7.14,IM
6.37,12.37,9.83,21.88,13.98,IM
6.38,12.43,9.86,22.11,13.78,IM
8.19,5.46,1.84,4.34,12.2,IM
2.16,134.19,133.65,1.4,5.39,IM
6.43,18.19,11.11,3,6.46,IM
4.3,8.94,8.38,13.77,9.68,IM
7.3,8.86,5.34,10.92,10.95,IM
6.57,6.54,6.18,11.65,12.14,IM
3,1.82,11.25,26.67,9.13,IM
8.7,5.48,2.55,1.57,13.93,IM
10.16,7.07,5.5,0.67,3.26,IM
5.4,2.87,5.64,4.48,13.38,IM
2.1,132.77,132.02,0.12,5.21,IM
7.46,8.8,5.87,11.31,11.52,IM
7.47,6.55,6.21,13.64,12.11,IM
7.19,6.82,5.84,12.59,13.54,IM
5,2.74,5.58,15.84,13.38,IM
4.88,1.87,4.73,18.28,6.93,IM
6.2,15.69,10.45,15.84,13.38,IM
6.86,13.54,10.42,29.87,15.5,IM
7.67,7.39,6.41,13.22,14.9,IM
7,15.67,10.61,30.38,14.82,IM
0.66,212.83,210.96,0.06,3.83,IM
0.79,173,173.42,0.84,4.35,IM
4.32,24.1,22.22,1.64,8.76,IM
4.1,9.11,4.96,11.9,13.19,IM
7.19,6.8,5.81,12.46,13.47,IM
2.8,10.37,7.9,8.22,6.93,IM
1.62,147.14,146,0.14,5.11,IM
7.38,8.75,5.17,8.89,10.56,IM
6,16.76,5.44,6.4,13.38,IM
7.75,5.7,7.45,3.01,1.93,IM
3.7,7.12,20.14,15.51,4.16,IM
7.65,5.73,4.44,7.57,12.63,IM
7.97,5.84,1.29,4.77,9.56,IM
1.49,167.34,166.9,1.53,4.59,IM
6.53,9.03,6.82,14.32,14.04,IM
5,2.89,5.68,14.88,13.38,IM
6.55,8.9,6.66,14.09,13.93,IM
5.4,17.79,5.31,5.6,13.38,IM
4.02,3.43,1.35,20.32,9.78,IM
3.16,5.44,3.49,0.77,3.46,IM
3.25,6.69,4.49,1.67,4.82,IM
7,14.57,10.48,29.73,13.21,IM
3.25,6.53,4.21,1.21,4.59,IM
6.1,7.96,5.75,23.69,11.4,IM
7.4,8.02,6.69,16.32,13.38,IM
7.43,7.1,5.85,12.52,14.09,IM
9,17.19,4.84,9.33,9.13,IM
0.52,272.76,270.74,0.11,2.93,IM
6.04,1.64,0.93,0.36,1.12,IM
6.58,7.91,6.5,15.88,13.58,IM
1.91,152.27,151.22,2.09,4.75,IM
6.36,12.32,9.8,21.73,14.1,IM
6.92,8.29,8.6,27.07,6.46,IM
8.07,6.73,5.66,13.97,13.3,IM
7.56,6.72,5.3,10.28,13.35,IM
8.82,2.37,5.03,2.28,1.63,IM
6.56,8.81,6.55,13.93,13.85,IM
6.55,12.03,9.71,18.23,13.93,IM
9,8.88,5.52,10.22,9.13,IM
0.72,161.14,160.99,0.13,4.09,IM
4.49,7.67,7.03,0.78,11.73,IM
0.75,286.11,284.89,0.05,2.77,IM
3.2,18.09,11.05,7.23,2.78,IM
7.33,8.78,6.3,13.44,14.9,IM
4.05,3.64,13.51,2.73,4.86,IM
8,1.49,1.13,0.51,1.78,IM
6.54,8.97,6.74,14.2,13.98,IM
2.42,132.29,134.87,1.5,4.78,IM
2.04,136.45,139.45,1.46,4.73,IM
7.6,6.36,4.84,9.66,13.22,IM
8.15,5.56,2.19,4.95,12.2,IM
3.24,6.62,4.21,1.13,4.63,IM
1.22,116.91,116.86,2.57,5.32,IM
6.48,12.1,5.85,11.88,11.88,IM
4.95,8.52,6.8,7.91,11.36,IM
8.22,5.41,1.34,4.31,11.82,IM
7.33,8.81,5.29,10.22,10.85,IM
7.54,9.4,6.87,12.83,11.94,IM
8.09,7.13,5.64,14.64,12.92,IM
8.82,3.72,5.05,1.97,1.63,IM
7.67,7.36,6.04,6.22,9.13,IM
6,18.22,9.15,5.33,9.13,IM
7.9,7.33,4.73,8.84,12.49,IM
7.92,7.46,4.87,9.23,12.49,IM
4.2,8.63,8.4,11.75,9.68,IM
8.23,5.68,1.9,4.24,11.73,IM
8.24,5.54,1.49,4.05,11.66,IM
7,7.46,6.13,15.5,11.53,IM
2.07,132.05,136.58,0.85,4.95,IM
2.38,132.38,135.07,1.96,4.78,IM
4.36,6.33,3.1,22.54,7.3,IM
8.19,6.73,5.13,5.81,14.9,IM
7.15,8.88,7.34,16.79,15.08,IM
2.3,132.48,135.37,2.41,4.95,IM
6,5.66,20.45,28,9.13,IM
2.22,12.05,5.65,3.22,1.63,IM
3.51,10.22,6.27,2.52,8.06,IM
6.36,12.35,9.82,21.82,14.04,IM
7,16.1,10.79,29.89,14.9,IM
5.96,20.12,19.73,8.7,12.38,IM
3.59,3.15,2.26,29.91,6.46,IM
8.03,5.43,2.11,2.34,10.59,IM
8.75,5.26,1.96,2.38,13.71,IM
8.26,5.76,2.34,9.1,10.4,IM
7.97,6.1,2.02,5.06,9.59,IM
6.95,8.41,7.49,23.8,12.29,IM
10.7,5.66,3.11,0.99,2.2,IM
1.06,145.46,145.27,0.49,4.25,IM
6.81,13.59,10.2,31.19,13.78,IM
7.76,6.14,4.29,8.35,13.03,IM
7.7,9.48,4.38,8.7,7.3,IM
8.23,5.37,1.08,4.1,11.73,IM
6.17,11.42,9.29,18.67,14.9,IM
6.37,12.39,9.84,21.95,13.93,IM
6.59,8.54,6.19,13.44,13.54,IM
2.54,10.79,5.66,2.05,6.34,IM
7.66,7.09,4.26,1.37,5.54,IM
3.33,7.61,4.81,1.48,5.65,IM
8.15,5.53,2.14,4.87,12.16,IM
6.88,13.65,10.25,30.88,13.39,IM
3.95,7.23,7.71,20.28,9.68,IM
3.32,19.61,4.12,7.99,6.93,IM
7.63,7.36,4.35,1.43,5.77,IM
2.06,14.46,3.75,4.78,1.63,IM
8.24,5.46,1.23,3.95,11.62,IM
6.78,6.97,6.25,12.97,11.93,IM
3.25,6.61,4.36,1.44,4.71,IM
7.49,6.63,6.25,13.71,11.73,IM
6.04,1.64,0.81,0.32,1.08,IM
6.52,9.12,6.92,14.47,14.1,IM
6.56,12.05,9.72,18.19,13.83,IM
6.58,8.61,6.28,13.57,13.63,IM
4.01,2.28,1.3,20.42,9.57,IM
6.54,12.01,9.7,18.26,14.02,IM
7,13.98,10.21,33.2,12.51,IM
5.67,20.95,16.59,18.22,9.13,IM
8.16,5.63,2.31,5.12,12.22,IM
6.63,6.56,6.14,11.46,12.5,IM
4.25,2.26,4,16.28,11.64,IM
8.33,9.65,7.16,17.78,9.13,IM
6.08,18.9,18.53,8.27,12.43,IM
4.4,7.64,8.68,20.32,13.38,IM
7.43,10.02,7.09,12.39,11.33,IM
7.48,7.81,3.38,7.75,15.05,IM
4.13,9.11,4.95,9.77,13.08,IM
7.37,7.59,3.24,12.59,6.46,IM
3.24,6.44,4.06,0.98,4.46,IM
7,12.49,9.26,34.1,10.5,IM
8.16,5.51,2.11,4.6,12.31,IM
5.2,2.26,5.13,12.16,13.38,IM
7.33,7.88,5.35,3.78,14.9,IM
4.25,2.91,4.25,16.42,12,IM
6.39,12.49,9.89,22.31,13.54,IM
6.57,13.87,13.59,19.35,16.18,IM
0.46,286.01,295.7,0.41,2.7,IM
8.5,6.01,3.9,1.71,14.63,IM
3.35,10.91,3.91,0.53,6.47,IM
10.46,4.24,3.23,0.98,2.46,IM
7.41,12.17,8.77,30.91,6.46,IM
3.8,71.94,70.99,1.68,7.2,IM
6.98,8.65,5.73,13.48,11.3,IM
7.46,6.67,6.21,13.59,12.31,IM
4.25,2.17,3.97,16.26,11.58,IM
6,17.8,10.18,0.89,9.13,IM
8.24,5.36,0.99,4.04,11.7,IM
5.12,3.39,3.14,18.13,6.46,IM
5,16.56,8.2,5.76,13.38,IM
7.49,6.64,6.24,13.68,11.93,IM
5.19,13.15,4.84,4.36,12.52,IM
8.07,6.06,5.71,12.23,11.01,IM
4.2,7.14,6.35,17.44,13.38,IM
3.95,8.88,7.6,15.22,8.97,IM
7.36,8.76,5.24,9.52,10.72,IM
7.44,6.79,5.51,12.08,13.98,IM
2.38,131.97,135.13,1.12,4.78,IM
3.54,9.72,6.04,2.34,7.77,IM
8.22,5.84,5.45,11.84,12.02,IM
3.24,6.36,3.91,0.74,4.29,IM
7.91,7.4,4.8,9.05,12.51,IM
4.8,2.21,3.95,15.52,13.38,IM
2.56,10.6,5.62,2.04,6.34,IM
7.6,7.13,3.34,1.76,11.08,IM
8.68,5.58,2.79,1.17,14.02,IM
6.59,12.08,9.75,18.12,13.58,IM
7,14.28,9.96,31.88,13.66,IM
0.33,226.09,219.72,0.08,3.58,IM
7.96,6.05,3.71,7.38,13.04,IM
3.8,11.09,10.95,14.88,13.38,IM
7.34,8.7,5.42,10.56,11,IM
3.61,15.37,9.17,10.39,3.31,IM
6,15.17,9.44,34.11,14.9,IM
6.94,6.22,5.11,8.6,11.75,IM
4.6,10.77,5.42,8.16,10.92,IM
2.58,13.22,8.92,1.44,2.91,IM
8.24,6.73,5.4,12.91,12.47,IM
7.71,7.35,4.36,7.52,14.41,IM
4.05,7.75,7.42,8.65,8.97,IM
0.35,384.09,386.62,0.03,1.91,IM
4.74,2.53,6.32,13.67,13.23,IM
5.72,22.6,22.15,9.52,11.74,IM
7.92,6.01,2.53,2.33,10.62,IM
3.63,3.69,2.21,31.05,6.46,IM
2.06,14.63,7.02,5.48,1.63,IM
11.51,6.43,2.73,0.24,1.93,IM
1.36,130.87,127.94,3.05,5.52,IM
2.17,132.03,135.16,1.07,4.78,IM
7.43,6.55,5.29,10.84,13.33,IM
4.09,51.08,50.59,3.66,7.74,IM
8.34,6.4,4.6,3.86,14.83,IM
