VEC,∆χ,δ(%),∆Smix,∆Hmix,phase
8.28571,0.14807,6.434,16.18,4.2449,Multiphase
7.4,0.06668,5.591,13.38,2.56,FCCBCC
7.1824,0.06818,5.847,13.66,12.7332,Multiphase
7.06,0.09993,3.866,12.11,7.4921,Multiphase
4.575,0.11488,5.047,12.6,1.25875,BCC
8.036,0.08386,3.436,13.89,4.61964,Multiphase
8.2175,0.05388,1.33,11.92,4.04917,FCC
8.285,0.05992,1.477,12.11,3.9935,FCC
4.16667,0.08284,4.903,14.9,14.7778,BCC
5.79267,0.05814,6.722,10.08,10.3665,Multiphase
4.33333,0.07769,5.037,9.13,2.66667,BCC
7.176,0.08691,7.167,13.93,17.1069,Multiphase
8.015,0.06632,5.99,12,4.81542,Multiphase
8.34533,0.05646,1.557,9.95,9.90912,FCC
5.5,0.18795,4.96,11.53,4.25,Multiphase
4.985,0.14335,4.067,11.81,3.22252,BCC
4.7325,0.03228,3.918,11.88,1.06673,BCC
7.2,0.15006,16.369,13.38,9.28,Multiphase
4.344,0.09402,4.558,9.71,1.68213,Multiphase
4.8,0.13199,5.494,13.38,13.6,BCC
8.189,0.06125,5.612,13.58,5.26713,FCCBCC
8.04,0.0265,1.303,3.24,0.7472,FCCBCC
7.993,0.07837,3.313,13.45,4.23895,Multiphase
7.966,0.07846,3.436,13.63,4.54126,FCCBCC
8,0.10439,4.23,13.38,4,Multiphase
4.5,0.08035,7.024,10.92,0.96,BCC
7.976,0.07838,3.284,13.66,4.36036,Multiphase
6.4875,0.12069,5.823,11.73,11.8169,Multiphase
4.75075,0.18492,6.006,11.66,2.50596,BCC
8.6942,0.0545,2.53,14.04,1.60771,Multiphase
8.7614,0.05135,1.63,13.67,2.7514,FCC
7.164,0.08669,7.161,14.1,16.8625,FCCBCC
6.5735,0.06525,6.176,12.13,11.6594,Multiphase
7.16,0.08185,6.287,15.53,14.36,Multiphase
8.33333,0.15798,6.534,14.9,6.44444,Multiphase
7,0.08317,7.021,14.9,13.6667,Multiphase
7.8,0.07897,4.08,14.24,6.32218,FCC
8.7634,0.05109,1.468,13.67,2.84728,FCC
4.75,0.08116,8.781,11.53,5,Multiphase
5.455,0.01974,6.748,6.93,7.0954,Multiphase
8.704,0.05569,1.722,11.82,4.32512,FCCBCC
4.6,0.09758,8.627,13.38,4,Multiphase
9.8528,0.03015,1.94,1.95,1.41699,Multiphase
4.34033,0.08129,5.093,9.42,2.54331,BCC
5.8371,0.15944,24.245,7.66,45.5905,FCC
7.052,0.05076,1.446,7.22,1.66886,FCC
8.187,0.05436,1.651,11.93,4.39561,Multiphase
7.607,0.06959,5.63,13.58,4.03174,FCCBCC
8.4485,0.08777,3.421,12.29,1.40526,FCCBCC
4.74625,0.18555,5.996,11.73,2.47506,BCC
7.95,0.06329,2.42,13.38,6.26,FCC
4.8,0.17242,6.852,13.38,2.88,BCC
6.66667,0.08132,7.231,14.9,21.5556,BCC
8.33,0.05925,3.992,13.91,5.1292,FCC
5.189,0.13048,5.614,13.58,4.59133,Multiphase
7.1872,0.06779,5.814,13.54,12.7603,BCC
